"id","experiment_id","is_map","origin_article_title","image_caption","image_url","commons_url","map_ne_lng","map_sw_lng","map_ne_lat","map_sw_lat","map_styles","map_annotations","map_annotations_count","rank","validation_question_correct","avg_rank","rank_var","avg_normalized_rank","normalized_rank_var","avg_validation_question_correct","avg_rank_validated","rank_validated_var","avg_normalized_rank_validated","normalized_rank_validated_var"
"2","2-2","1","","","","","-109.04633182955024","-114.04254764955438","42.00007732980495","36.999808775254735","[""terrain"",""labels"",""boundaries""]","[]","0","[1,1,1,1,2]","[1,1,1,1,1]","1.2","0.16","0.4","0.017777777777777774","1.0","1.2","0.16","1.2","0.16"
"2","2-3","1","","","","","-71.1225","-114.04254764955438","42.3672","36.999808775254735","[""terrain"",""labels"",""boundaries""]","[{""lng"":-77.00558333,""title"":""Republican Party (United States)"",""lat"":38.88541667},{""lng"":-71.1225,""title"":""Harvard Business School"",""lat"":42.3672}]","2","[1,0,0,0,0]","[1,1,1,1,1]","0.2","0.16000000000000006","0.06666666666666667","0.017777777777777778","1.0","0.2","0.16000000000000006","0.2","0.16000000000000006"
"2","2-4","0","Pornography","World map of pornography (18+) laws","https://upload.wikimedia.org/wikipedia/commons/6/63/Pornography_laws.svg","https://commons.wikimedia.org/wiki/File:Pornography_laws.svg","","","","","","","","[1,1,0,1,1]","[1,1,1,1,1]","0.8","0.16","0.26666666666666666","0.017777777777777778","1.0","0.8","0.16","0.8","0.16"
"2","2-5","0","Pornography","XXX is used to designate pornographic material in the U.S. and other regions around the world","https://upload.wikimedia.org/wikipedia/commons/b/bc/XXX_P_icon.png","https://commons.wikimedia.org/wiki/File:XXX_P_icon.png","","","","","","","","[1,2,1,1,2]","[1,1,1,1,1]","1.4","0.24","0.4666666666666666","0.02666666666666666","1.0","1.4","0.24","1.4","0.24"
"2","2-6","0","Mormons","Global distribution of LDS Church members in 2009","https://upload.wikimedia.org/wikipedia/commons/0/05/LDS_Global_Distribution.svg","https://commons.wikimedia.org/wiki/File:LDS_Global_Distribution.svg","","","","","","","","[0,1,0,1,0]","[1,1,1,1,1]","0.4","0.24000000000000005","0.13333333333333333","0.026666666666666665","1.0","0.4","0.24000000000000005","0.4","0.24000000000000005"
"1","1-0","1","","","","","77.0489709880002","-84.325598","37.054483541000096","23.694525458000058","[]","[{""lng"":-84.325598,""title"":""Centers for Disease Control and Prevention"",""lat"":33.798817}]","1","[1,1,1]","[0,1,1]","1.0","0.0","0.3333333333333333","0.0","0.6666666666666666","1.0","0.0","1.0","0.0"
"1","1-1","1","","","","","77.0489709880002","-84.325598","37.054483541000096","23.694525458000058","[""terrain"",""labels"",""boundaries""]","[{""lng"":-84.325598,""title"":""Centers for Disease Control and Prevention"",""lat"":33.798817}]","1","[1,1,1]","[0,1,1]","1.0","0.0","0.3333333333333333","0.0","0.6666666666666666","1.0","0.0","1.0","0.0"
"1","1-2","0","OPV AIDS hypothesis","The Laboratoire Médical de Stanleyville was sited at the city now known as Kisangani","https://upload.wikimedia.org/wikipedia/commons/b/b4/Cg-map.png","https://commons.wikimedia.org/wiki/File:Cg-map.png","","","","","","","","[0,0,0]","[0,1,1]","0.0","0.0","0.0","0.0","0.6666666666666666","0.0","0.0","0.0","0.0"
"1","1-3","0","Poliomyelitis eradication","Countries with polio cases in 2005","https://upload.wikimedia.org/wikipedia/commons/f/f5/Polio_worldwide_2005.svg","https://commons.wikimedia.org/wiki/File:Polio_worldwide_2005.svg","","","","","","","","[3,1,2]","[0,1,1]","2.0","0.6666666666666666","0.6666666666666666","0.07407407407407408","0.6666666666666666","1.5","0.25","1.5","0.25"
"1","1-4","0","Poliomyelitis eradication","Reported Polio Cases in 2012","https://upload.wikimedia.org/wikipedia/commons/6/63/Polio_worldwide_2012.svg","https://commons.wikimedia.org/wiki/File:Polio_worldwide_2012.svg","","","","","","","","[2,1,2]","[0,1,1]","1.6666666666666667","0.2222222222222222","0.5555555555555555","0.024691358024691357","0.6666666666666666","1.5","0.25","1.5","0.25"
"1","1-5","0","Poliomyelitis eradication","Reported polio cases in 2013","https://upload.wikimedia.org/wikipedia/commons/c/ca/Polio_worldwide_2013.svg","https://commons.wikimedia.org/wiki/File:Polio_worldwide_2013.svg","","","","","","","","[2,1,2]","[0,1,1]","1.6666666666666667","0.2222222222222222","0.5555555555555555","0.024691358024691357","0.6666666666666666","1.5","0.25","1.5","0.25"
"1","1-6","0","Poliomyelitis eradication","Reported polio cases in 2014","https://upload.wikimedia.org/wikipedia/commons/0/0c/Polio_worldwide_2014.svg","https://commons.wikimedia.org/wiki/File:Polio_worldwide_2014.svg","","","","","","","","[3,3,2]","[0,1,1]","2.6666666666666665","0.22222222222222224","0.8888888888888888","0.024691358024691367","0.6666666666666666","2.5","0.25","2.5","0.25"
